date,county,daily_cases
2020-05-19,St. Clair,21
2020-05-20,St. Clair,35
2020-05-21,St. Clair,22
2020-05-22,St. Clair,33
2020-05-23,St. Clair,63
2020-05-24,St. Clair,18
2020-05-25,St. Clair,20
2020-03-16,Woodford,0
2020-03-17,Woodford,1
2020-03-18,Woodford,0
2020-03-19,Woodford,0
2020-03-20,Woodford,0
2020-03-21,Woodford,0
2020-03-22,Woodford,0
2020-03-23,Woodford,1
2020-03-24,Woodford,0
2020-03-25,Woodford,0
2020-03-26,Woodford,0
2020-03-27,Woodford,0
2020-03-28,Woodford,0
2020-03-29,Woodford,0
2020-03-30,Woodford,0
2020-03-31,Woodford,0
2020-04-01,Woodford,0
2020-04-02,Woodford,1
2020-04-03,Woodford,2
2020-04-04,Woodford,0
2020-04-05,Woodford,0
2020-04-06,Woodford,1
2020-04-07,Woodford,0
2020-04-08,Woodford,0
2020-04-09,Woodford,0
2020-04-10,Woodford,0
2020-04-11,Woodford,0
2020-04-12,Woodford,2
2020-04-13,Woodford,1
2020-04-14,Woodford,1
2020-04-15,Woodford,0
2020-04-16,Woodford,0
2020-04-17,Woodford,0
2020-04-18,Woodford,0
2020-04-19,Woodford,0
2020-04-20,Woodford,0
2020-04-21,Woodford,0
2020-04-22,Woodford,0
2020-04-23,Woodford,0
2020-04-24,Woodford,0
2020-04-25,Woodford,0
2020-04-26,Woodford,0
2020-04-27,Woodford,1
2020-04-28,Woodford,0
2020-04-29,Woodford,1
2020-04-30,Woodford,1
2020-05-01,Woodford,-1
2020-05-02,Woodford,0
2020-05-03,Woodford,0
2020-05-04,Woodford,0
2020-05-05,Woodford,2
2020-05-06,Woodford,0
2020-05-07,Woodford,0
2020-05-08,Woodford,0
2020-05-09,Woodford,0
2020-05-10,Woodford,0
2020-05-11,Woodford,0
2020-05-12,Woodford,0
2020-05-13,Woodford,-1
2020-05-14,Woodford,0
2020-05-15,Woodford,0
2020-05-16,Woodford,0
2020-05-17,Woodford,2
2020-05-18,Woodford,0
2020-05-19,Woodford,2
2020-05-20,Woodford,0
2020-05-21,Woodford,0
2020-05-22,Woodford,0
2020-05-23,Woodford,0
2020-05-24,Woodford,0
2020-05-25,Woodford,1
2020-03-16,Clinton,1
2020-03-17,Clinton,1
2020-03-18,Clinton,0
2020-03-19,Clinton,0
2020-03-20,Clinton,0
2020-03-21,Clinton,0
