date,county,daily_cases
2020-06-01,Washington,1
2020-06-02,Washington,1
2020-06-03,Washington,1
2020-06-04,Washington,1
2020-06-05,Washington,1
2020-06-06,Washington,2
2020-06-07,Washington,2
2020-06-08,Washington,2
2020-06-09,Washington,2
2020-06-10,Washington,2
2020-06-11,Washington,2
2020-06-12,Washington,2
2020-06-13,Washington,2
2020-06-14,Washington,3
2020-06-15,Washington,3
2020-06-16,Washington,3
2020-06-17,Washington,3
2020-06-18,Washington,3
2020-06-19,Washington,4
2020-06-20,Washington,4
2020-06-21,Washington,4
2020-06-22,Washington,4
2020-06-23,Washington,5
2020-06-24,Washington,5
2020-06-25,Washington,5
2020-06-26,Washington,6
2020-06-27,Washington,6
2020-06-28,Washington,6
2020-06-29,Washington,7
2020-06-30,Washington,7
2020-07-01,Washington,7
2020-07-02,Washington,8
2020-07-03,Washington,8
2020-07-04,Washington,9
